Serial No,Name,Type,Region
707,Camerupt (Mega Camerupt),Fire/Ground,Kalos
708,Altaria (Mega Altaria),Dragon/Fairy,Kalos
709,Banette (Mega Banette),Ghost,Kalos
710,Absol (Mega Absol),Dark,Kalos
711,Glalie (Mega Glalie),Ice,Kalos
712,Salamence (Mega Salamence),Dragon/Flying,Kalos
713,Metagross (Mega Metagross),Steel/Psychic,Kalos
714,Latias (Mega Latias),Dragon/Psychic,Kalos
715,Latios (Mega Latios),Dragon/Psychic,Kalos
716,Kyogre (Primal Kyogre),Water,Kalos
717,Groudon (Primal Groudon),Ground/Fire,Kalos
718,Rayquaza (Mega Rayquaza),Dragon/Flying,Kalos
719,Lopunny (Mega Lopunny),Normal/Fighting,Kalos
720,Garchomp (Mega Garchomp),Dragon/Ground,Kalos
721,Lucario (Mega Lucario),Fighting/Steel,Kalos
722,Abomasnow (Mega Abomasnow),Grass/Ice,Kalos
723,Gallade (Mega Gallade),Psychic/Fighting,Kalos
724,Audino (Mega Audino),Normal/Fairy,Kalos
725,Chespin,Grass,Kalos
726,Quilladin,Grass,Kalos
727,Chesnaught,Grass/Fighting,Kalos
728,Fennekin,Fire,Kalos
729,Braixen,Fire,Kalos
730,Delphox,Fire/Psychic,Kalos
731,Froakie,Water,Kalos
732,Frogadier,Water,Kalos
733,Greninja,Water/Dark,Kalos
734,Bunnelby,Normal,Kalos
735,Diggersby,Normal/Ground,Kalos
736,Fletchling,Normal/Flying,Kalos
737,Fletchinder,Fire/Flying,Kalos
738,Talonflame,Fire/Flying,Kalos
739,Scatterbug,Bug,Kalos
740,Spewpa,Bug,Kalos
741,Vivillon,Bug/Flying,Kalos
742,Litleo,Fire/Normal,Kalos
743,Pyroar,Fire/Normal,Kalos
744,Flabébé,Fairy,Kalos
745,Floette,Fairy,Kalos
746,Florges,Fairy,Kalos
747,Skiddo,Grass,Kalos
748,Gogoat,Grass,Kalos
749,Pancham,Fighting,Kalos
750,Pangoro,Fighting/Dark,Kalos
751,Furfrou,Normal,Kalos
752,Espurr,Psychic,Kalos
753,Meowstic (Male),Psychic,Kalos
754,Meowstic (Female),Psychic,Kalos
755,Honedge,Steel/Ghost,Kalos
756,Doublade,Steel/Ghost,Kalos
757,Aegislash (Shield Forme),Steel/Ghost,Kalos
758,Aegislash (Blade Forme),Steel/Ghost,Kalos
759,Spritzee,Fairy,Kalos
760,Aromatisse,Fairy,Kalos
761,Swirlix,Fairy,Kalos
762,Slurpuff,Fairy,Kalos
763,Inkay,Dark/Psychic,Kalos
764,Malamar,Dark/Psychic,Kalos
765,Binacle,Rock/Water,Kalos
766,Barbaracle,Rock/Water,Kalos
767,Skrelp,Poison/Water,Kalos
768,Dragalge,Poison/Dragon,Kalos
769,Clauncher,Water,Kalos
770,Clawitzer,Water,Kalos
771,Helioptile,Electric/Normal,Kalos
772,Heliolisk,Electric/Normal,Kalos
773,Tyrunt,Rock/Dragon,Kalos
774,Tyrantrum,Rock/Dragon,Kalos
775,Amaura,Rock/Ice,Kalos
776,Aurorus,Rock/Ice,Kalos
777,Sylveon,Fairy,Kalos
778,Hawlucha,Fighting/Flying,Kalos
779,Dedenne,Electric/Fairy,Kalos
780,Carbink,Rock/Fairy,Kalos
781,Goomy,Dragon,Kalos
782,Sliggoo,Dragon,Kalos
783,Goodra,Dragon,Kalos
784,Klefki,Steel/Fairy,Kalos
785,Phantump,Ghost/Grass,Kalos
786,Trevenant,Ghost/Grass,Kalos
787,Pumpkaboo (Average Size),Ghost/Grass,Kalos
788,Pumpkaboo (Small Size),Ghost/Grass,Kalos
789,Pumpkaboo (Large Size),Ghost/Grass,Kalos
790,Pumpkaboo (Super Size),Ghost/Grass,Kalos
791,Gourgeist (Average Size),Ghost/Grass,Kalos
792,Gourgeist (Small Size),Ghost/Grass,Kalos
793,Gourgeist (Large Size),Ghost/Grass,Kalos
794,Gourgeist (Super Size),Ghost/Grass,Kalos
795,Bergmite,Ice,Kalos
796,Avalugg,Ice,Kalos
797,Noibat,Flying/Dragon,Kalos
798,Noivern,Flying/Dragon,Kalos
799,Xerneas,Fairy,Kalos
800,Yveltal,Dark/Flying,Kalos
801,Zygarde50% Forme,Dragon/Ground,Kalos
802,Diancie,Rock/Fairy,Kalos
803,Diancie (Mega Diancie),Rock/Fairy,Kalos
804,Hoopa (Hoopa Confined),Psychic/Ghost,Kalos
805,Hoopa (Hoopa Unbound),Psychic/Dark,Kalos
806,Volcanion,Fire/Water,Kalos
807,Rattata (Alolan Rattata),Dark/Normal,Alola
808,Raticate (Alolan Raticate),Dark/Normal,Alola
809,Pikachu (Partner Pikachu),Electric,Alola
810,Raichu (Alolan Raichu),Electric/Psychic,Alola
811,Sandshrew (Alolan Sandshrew),Ice/Steel,Alola
812,Sandslash (Alolan Sandslash),Ice/Steel,Alola
813,Vulpix (Alolan Vulpix),Ice,Alola
814,Ninetales (Alolan Ninetales),Ice/Fairy,Alola
815,Diglett (Alolan Diglett),Ground/Steel,Alola
816,Dugtrio (Alolan Dugtrio),Ground/Steel,Alola
817,Meowth (Alolan Meowth),Dark,Alola
818,Persian (Alolan Persian),Dark,Alola
819,Geodude (Alolan Geodude),Rock/Electric,Alola
820,Graveler (Alolan Graveler),Rock/Electric,Alola
821,Golem (Alolan Golem),Rock/Electric,Alola
822,Grimer (Alolan Grimer),Poison/Dark,Alola
823,Muk (Alolan Muk),Poison/Dark,Alola
824,Exeggutor (Alolan Exeggutor),Grass/Dragon,Alola
825,Marowak (Alolan Marowak),Fire/Ghost,Alola
826,Eevee (Partner Eevee),Normal,Alola
827,Greninja (Ash-Greninja),Water/Dark,Alola
828,Zygarde10% Forme,Dragon/Ground,Alola
829,Zygarde (Complete Forme),Dragon/Ground,Alola
830,Rowlet,Grass/Flying,Alola
831,Dartrix,Grass/Flying,Alola
832,Decidueye,Grass/Ghost,Alola
833,Litten,Fire,Alola
834,Torracat,Fire,Alola
835,Incineroar,Fire/Dark,Alola
836,Popplio,Water,Alola
837,Brionne,Water,Alola
838,Primarina,Water/Fairy,Alola
839,Pikipek,Normal/Flying,Alola
840,Trumbeak,Normal/Flying,Alola
841,Toucannon,Normal/Flying,Alola
842,Yungoos,Normal,Alola
843,Gumshoos,Normal,Alola
844,Grubbin,Bug,Alola
845,Charjabug,Bug/Electric,Alola
846,Vikavolt,Bug/Electric,Alola
847,Crabrawler,Fighting,Alola
848,Crabominable,Fighting/Ice,Alola
849,Oricorio (Baile Style),Fire/Flying,Alola
850,Oricorio (Pom-Pom Style),Electric/Flying,Alola
851,Oricorio (Pa'u Style),Psychic/Flying,Alola
852,Oricorio (Sensu Style),Ghost/Flying,Alola
853,Cutiefly,Bug/Fairy,Alola
854,Ribombee,Bug/Fairy,Alola
855,Rockruff,Rock,Alola
856,Rockruff (Own Tempo Rockruff),Rock,Alola
857,Lycanroc (Midday Form),Rock,Alola
858,Lycanroc (Midnight Form),Rock,Alola
859,Lycanroc (Dusk Form),Rock,Alola
860,Wishiwashi (Solo Form),Water,Alola
861,Wishiwashi (School Form),Water,Alola
862,Mareanie,Poison/Water,Alola
863,Toxapex,Poison/Water,Alola
864,Mudbray,Ground,Alola
865,Mudsdale,Ground,Alola
866,Dewpider,Water/Bug,Alola
867,Araquanid,Water/Bug,Alola
868,Fomantis,Grass,Alola
869,Lurantis,Grass,Alola
870,Morelull,Grass/Fairy,Alola
871,Shiinotic,Grass/Fairy,Alola
872,Salandit,Poison/Fire,Alola
873,Salazzle,Poison/Fire,Alola
874,Stufful,Normal/Fighting,Alola
875,Bewear,Normal/Fighting,Alola
876,Bounsweet,Grass,Alola
877,Steenee,Grass,Alola
878,Tsareena,Grass,Alola
879,Comfey,Fairy,Alola
880,Oranguru,Normal/Psychic,Alola
881,Passimian,Fighting,Alola
882,Wimpod,Bug/Water,Alola
883,Golisopod,Bug/Water,Alola
884,Sandygast,Ghost/Ground,Alola
885,Palossand,Ghost/Ground,Alola
886,Pyukumuku,Water,Alola
887,Type: Null,Normal,Alola
888,Silvally,Normal,Alola
889,Minior (Meteor Form),Rock/Flying,Alola
890,Minior (Core Form),Rock/Flying,Alola
891,Komala,Normal,Alola
892,Turtonator,Fire/Dragon,Alola
893,Togedemaru,Electric/Steel,Alola
894,Mimikyu,Ghost/Fairy,Alola
895,Bruxish,Water/Psychic,Alola
896,Drampa,Normal/Dragon,Alola
897,Dhelmise,Ghost/Grass,Alola
898,Jangmo-o,Dragon,Alola
899,Hakamo-o,Dragon/Fighting,Alola
900,Kommo-o,Dragon/Fighting,Alola
901,Tapu Koko,Electric/Fairy,Alola
902,Tapu Lele,Psychic/Fairy,Alola
903,Tapu Bulu,Grass/Fairy,Alola
904,Tapu Fini,Water/Fairy,Alola
905,Cosmog,Psychic,Alola
906,Cosmoem,Psychic,Alola
907,Solgaleo,Psychic/Steel,Alola
908,Lunala,Psychic/Ghost,Alola
909,Nihilego,Rock/Poison,Alola
910,Buzzwole,Bug/Fighting,Alola
911,Pheromosa,Bug/Fighting,Alola
912,Xurkitree,Electric,Alola
913,Celesteela,Steel/Flying,Alola
914,Kartana,Grass/Steel,Alola
915,Guzzlord,Dark/Dragon,Alola
916,Necrozma,Psychic,Alola
917,Necrozma (Dusk Mane Necrozma),Psychic/Steel,Alola
918,Necrozma (Dawn Wings Necrozma),Psychic/Ghost,Alola
919,Necrozma (Ultra Necrozma),Psychic/Dragon,Alola
920,Magearna,Steel/Fairy,Alola
921,Marshadow,Fighting/Ghost,Alola
922,Poipole,Poison,Alola
923,Naganadel,Poison/Dragon,Alola
924,Stakataka,Rock/Steel,Alola
925,Blacephalon,Fire/Ghost,Alola
926,Zeraora,Electric,Alola
927,Meltan,Steel,Alola
928,Melmetal,Steel,Alola
929,Meowth (Galarian Meowth),Steel,Galar/Hisui
930,Growlithe (Hisuian Growlithe),Fire/Rock,Galar/Hisui
931,Arcanine (Hisuian Arcanine),Fire/Rock,Galar/Hisui
932,Ponyta (Galarian Ponyta),Psychic,Galar/Hisui
933,Rapidash (Galarian Rapidash),Psychic/Fairy,Galar/Hisui
934,Slowpoke (Galarian Slowpoke),Psychic,Galar/Hisui
935,Slowbro (Galarian Slowbro),Poison/Psychic,Galar/Hisui
936,Farfetch'd (Galarian Farfetch'd),Fighting,Galar/Hisui
937,Voltorb (Hisuian Voltorb),Electric/Grass,Galar/Hisui
938,Electrode (Hisuian Electrode),Electric/Grass,Galar/Hisui
939,Weezing (Galarian Weezing),Poison/Fairy,Galar/Hisui
940,Mr. Mime (Galarian Mr. Mime),Ice/Psychic,Galar/Hisui
941,Articuno (Galarian Articuno),Psychic/Flying,Galar/Hisui
942,Zapdos (Galarian Zapdos),Fighting/Flying,Galar/Hisui
943,Moltres (Galarian Moltres),Dark/Flying,Galar/Hisui
944,Typhlosion (Hisuian Typhlosion),Fire/Ghost,Galar/Hisui
945,Slowking (Galarian Slowking),Poison/Psychic,Galar/Hisui
946,Qwilfish (Hisuian Qwilfish),Dark/Poison,Galar/Hisui
947,Sneasel (Hisuian Sneasel),Fighting/Poison,Galar/Hisui
948,Corsola (Galarian Corsola),Ghost,Galar/Hisui
949,Zigzagoon (Galarian Zigzagoon),Dark/Normal,Galar/Hisui
950,Linoone (Galarian Linoone),Dark/Normal,Galar/Hisui
951,Dialga (Origin Forme),Steel/Dragon,Galar/Hisui
952,Palkia (Origin Forme),Water/Dragon,Galar/Hisui
953,Samurott (Hisuian Samurott),Water/Dark,Galar/Hisui
954,Lilligant (Hisuian Lilligant),Grass/Fighting,Galar/Hisui
955,Basculin (White-Striped Form),Water,Galar/Hisui
956,Darumaka (Galarian Darumaka),Ice,Galar/Hisui
957,Darmanitan (Galarian Standard Mode),Ice,Galar/Hisui
958,Darmanitan (Galarian Zen Mode),Ice/Fire,Galar/Hisui
959,Yamask (Galarian Yamask),Ground/Ghost,Galar/Hisui
960,Zorua (Hisuian Zorua),Normal/Ghost,Galar/Hisui
961,Zoroark (Hisuian Zoroark),Normal/Ghost,Galar/Hisui
962,Stunfisk (Galarian Stunfisk),Ground/Steel,Galar/Hisui
963,Braviary (Hisuian Braviary),Psychic/Flying,Galar/Hisui
964,Sliggoo (Hisuian Sliggoo),Steel/Dragon,Galar/Hisui
965,Goodra (Hisuian Goodra),Steel/Dragon,Galar/Hisui
966,Avalugg (Hisuian Avalugg),Ice/Rock,Galar/Hisui
967,Decidueye (Hisuian Decidueye),Grass/Fighting,Galar/Hisui
968,Grookey,Grass,Galar/Hisui
969,Thwackey,Grass,Galar/Hisui
970,Rillaboom,Grass,Galar/Hisui
971,Scorbunny,Fire,Galar/Hisui
972,Raboot,Fire,Galar/Hisui
973,Cinderace,Fire,Galar/Hisui
974,Sobble,Water,Galar/Hisui
975,Drizzile,Water,Galar/Hisui
976,Inteleon,Water,Galar/Hisui
977,Skwovet,Normal,Galar/Hisui
978,Greedent,Normal,Galar/Hisui
979,Rookidee,Flying,Galar/Hisui
980,Corvisquire,Flying,Galar/Hisui
981,Corviknight,Flying/Steel,Galar/Hisui
982,Blipbug,Bug,Galar/Hisui
983,Dottler,Bug/Psychic,Galar/Hisui
984,Orbeetle,Bug/Psychic,Galar/Hisui
985,Nickit,Dark,Galar/Hisui
986,Thievul,Dark,Galar/Hisui
987,Gossifleur,Grass,Galar/Hisui
988,Eldegoss,Grass,Galar/Hisui
989,Wooloo,Normal,Galar/Hisui
990,Dubwool,Normal,Galar/Hisui
991,Chewtle,Water,Galar/Hisui
992,Drednaw,Water/Rock,Galar/Hisui
993,Yamper,Electric,Galar/Hisui
994,Boltund,Electric,Galar/Hisui
995,Rolycoly,Rock,Galar/Hisui
996,Carkol,Rock/Fire,Galar/Hisui
997,Coalossal,Rock/Fire,Galar/Hisui
998,Applin,Grass/Dragon,Galar/Hisui
999,Flapple,Grass/Dragon,Galar/Hisui
1000,Appletun,Grass/Dragon,Galar/Hisui
1001,Silicobra,Ground,Galar/Hisui
1002,Sandaconda,Ground,Galar/Hisui
1003,Cramorant,Flying/Water,Galar/Hisui
1004,Arrokuda,Water,Galar/Hisui
1005,Barraskewda,Water,Galar/Hisui
1006,Toxel,Electric/Poison,Galar/Hisui
1007,Toxtricity (Amped Form),Electric/Poison,Galar/Hisui
1008,Toxtricity (Low Key Form),Electric/Poison,Galar/Hisui
1009,Sizzlipede,Fire/Bug,Galar/Hisui
1010,Centiskorch,Fire/Bug,Galar/Hisui
1011,Clobbopus,Fighting,Galar/Hisui
1012,Grapploct,Fighting,Galar/Hisui
1013,Sinistea,Ghost,Galar/Hisui
1014,Polteageist,Ghost,Galar/Hisui
1015,Hatenna,Psychic,Galar/Hisui
1016,Hattrem,Psychic,Galar/Hisui
1017,Hatterene,Psychic/Fairy,Galar/Hisui
1018,Impidimp,Dark/Fairy,Galar/Hisui
1019,Morgrem,Dark/Fairy,Galar/Hisui
1020,Grimmsnarl,Dark/Fairy,Galar/Hisui
1021,Obstagoon,Dark/Normal,Galar/Hisui
1022,Perrserker,Steel,Galar/Hisui
1023,Cursola,Ghost,Galar/Hisui
1024,Sirfetch'd,Fighting,Galar/Hisui
1025,Mr. Rime,Ice/Psychic,Galar/Hisui
1026,Runerigus,Ground/Ghost,Galar/Hisui
1027,Milcery,Fairy,Galar/Hisui
1028,Alcremie,Fairy,Galar/Hisui
1029,Falinks,Fighting,Galar/Hisui
1030,Pincurchin,Electric,Galar/Hisui
1031,Snom,Ice/Bug,Galar/Hisui
1032,Frosmoth,Ice/Bug,Galar/Hisui
1033,Stonjourner,Rock,Galar/Hisui
1034,Eiscue (Ice Face),Ice,Galar/Hisui
1035,Eiscue (Noice Face),Ice,Galar/Hisui
1036,Indeedee (Male),Psychic/Normal,Galar/Hisui
1037,Indeedee (Female),Psychic/Normal,Galar/Hisui
1038,Morpeko (Full Belly Mode),Electric/Dark,Galar/Hisui
1039,Morpeko (Hangry Mode),Electric/Dark,Galar/Hisui
1040,Cufant,Steel,Galar/Hisui
1041,Copperajah,Steel,Galar/Hisui
1042,Dracozolt,Electric/Dragon,Galar/Hisui
1043,Arctozolt,Electric/Ice,Galar/Hisui
1044,Dracovish,Water/Dragon,Galar/Hisui
1045,Arctovish,Water/Ice,Galar/Hisui
1046,Duraludon,Steel/Dragon,Galar/Hisui
1047,Dreepy,Dragon/Ghost,Galar/Hisui
1048,Drakloak,Dragon/Ghost,Galar/Hisui
1049,Dragapult,Dragon/Ghost,Galar/Hisui
1050,Zacian (Hero of Many Battles),Fairy,Galar/Hisui
1051,Zacian (Crowned Sword),Fairy/Steel,Galar/Hisui
1052,Zamazenta (Hero of Many Battles),Fighting,Galar/Hisui
1053,Zamazenta (Crowned Shield),Fighting/Steel,Galar/Hisui
1054,Eternatus,Poison/Dragon,Galar/Hisui
1055,Eternatus (Eternamax),Poison/Dragon,Galar/Hisui
1056,Kubfu,Fighting,Galar/Hisui
1057,Urshifu (Single Strike Style),Fighting/Dark,Galar/Hisui
1058,Urshifu (Rapid Strike Style),Fighting/Water,Galar/Hisui
1059,Zarude,Dark/Grass,Galar/Hisui
1060,Regieleki,Electric,Galar/Hisui
1061,Regidrago,Dragon,Galar/Hisui
1062,Glastrier,Ice,Galar/Hisui
1063,Spectrier,Ghost,Galar/Hisui
1064,Calyrex,Psychic/Grass,Galar/Hisui
1065,Calyrex (Ice Rider),Psychic/Ice,Galar/Hisui
1066,Calyrex (Shadow Rider),Psychic/Ghost,Galar/Hisui
1067,Wyrdeer,Normal/Psychic,Galar/Hisui
1068,Kleavor,Bug/Rock,Galar/Hisui
1069,Ursaluna,Ground/Normal,Galar/Hisui
1070,Basculegion (Male),Water/Ghost,Galar/Hisui
1071,Basculegion (Female),Water/Ghost,Galar/Hisui
1072,Sneasler,Fighting/Poison,Galar/Hisui
1073,Overqwil,Dark/Poison,Galar/Hisui
1074,Enamorus (Incarnate Forme),Fairy/Flying,Galar/Hisui
1075,Enamorus (Therian Forme),Fairy/Flying,Galar/Hisui
1076,Tauros (Combat Breed),Fighting,Paldea
1077,Tauros (Blaze Breed),Fighting/Fire,Paldea
1078,Tauros (Aqua Breed),Fighting/Water,Paldea
1079,Wooper (Paldean Wooper),Poison/Ground,Paldea
1080,Ursaluna (Bloodmoon),Ground/Normal,Paldea
1081,Sprigatito,Grass,Paldea
1082,Floragato,Grass,Paldea
1083,Meowscarada,Grass/Dark,Paldea
1084,Fuecoco,Fire,Paldea
1085,Crocalor,Fire,Paldea
1086,Skeledirge,Fire/Ghost,Paldea
1087,Quaxly,Water,Paldea
1088,Quaxwell,Water,Paldea
1089,Quaquaval,Water/Fighting,Paldea
1090,Lechonk,Normal,Paldea
1091,Oinkologne (Male),Normal,Paldea
1092,Oinkologne (Female),Normal,Paldea
1093,Tarountula,Bug,Paldea
1094,Spidops,Bug,Paldea
1095,Nymble,Bug,Paldea
1096,Lokix,Bug/Dark,Paldea
1097,Pawmi,Electric,Paldea
1098,Pawmo,Electric/Fighting,Paldea
1099,Pawmot,Electric/Fighting,Paldea
1100,Tandemaus,Normal,Paldea
1101,Maushold (Family of Four),Normal,Paldea
1102,Maushold (Family of Three),Normal,Paldea
1103,Fidough,Fairy,Paldea
1104,Dachsbun,Fairy,Paldea
1105,Smoliv,Grass/Normal,Paldea
1106,Dolliv,Grass/Normal,Paldea
1107,Arboliva,Grass/Normal,Paldea
1108,Squawkabilly (Green Plumage),Normal/Flying,Paldea
1109,Squawkabilly (Blue Plumage),Normal/Flying,Paldea
1110,Squawkabilly (Yellow Plumage),Normal/Flying,Paldea
1111,Squawkabilly (White Plumage),Normal/Flying,Paldea
1112,Nacli,Rock,Paldea
1113,Naclstack,Rock,Paldea
1114,Garganacl,Rock,Paldea
1115,Charcadet,Fire,Paldea
1116,Armarouge,Fire/Psychic,Paldea
1117,Ceruledge,Fire/Ghost,Paldea
1118,Tadbulb,Electric,Paldea
1119,Bellibolt,Electric,Paldea
1120,Wattrel,Electric/Flying,Paldea
1121,Kilowattrel,Electric/Flying,Paldea
1122,Maschiff,Dark,Paldea
1123,Mabosstiff,Dark,Paldea
1124,Shroodle,Poison/Normal,Paldea
1125,Grafaiai,Poison/Normal,Paldea
1126,Bramblin,Grass/Ghost,Paldea
1127,Brambleghast,Grass/Ghost,Paldea
1128,Toedscool,Ground/Grass,Paldea
1129,Toedscruel,Ground/Grass,Paldea
1130,Klawf,Rock,Paldea
1131,Capsakid,Grass,Paldea
1132,Scovillain,Grass/Fire,Paldea
1133,Rellor,Bug,Paldea
1134,Rabsca,Bug/Psychic,Paldea
1135,Flittle,Psychic,Paldea
1136,Espathra,Psychic,Paldea
1137,Tinkatink,Fairy/Steel,Paldea
1138,Tinkatuff,Fairy/Steel,Paldea
1139,Tinkaton,Fairy/Steel,Paldea
1140,Wiglett,Water,Paldea
1141,Wugtrio,Water,Paldea
1142,Bombirdier,Flying/Dark,Paldea
1143,Finizen,Water,Paldea
1144,Palafin (Zero Form),Water,Paldea
1145,Palafin (Hero Form),Water,Paldea
1146,Varoom,Steel/Poison,Paldea
1147,Revavroom,Steel/Poison,Paldea
1148,Cyclizar,Dragon/Normal,Paldea
1149,Orthworm,Steel,Paldea
1150,Glimmet,Rock/Poison,Paldea
1151,Glimmora,Rock/Poison,Paldea
1152,Greavard,Ghost,Paldea
1153,Houndstone,Ghost,Paldea
1154,Flamigo,Flying/Fighting,Paldea
1155,Cetoddle,Ice,Paldea
1156,Cetitan,Ice,Paldea
1157,Veluza,Water/Psychic,Paldea
1158,Dondozo,Water,Paldea
1159,Tatsugiri (Curly Form),Dragon/Water,Paldea
1160,Tatsugiri (Droopy Form),Dragon/Water,Paldea
1161,Tatsugiri (Stretchy Form),Dragon/Water,Paldea
1162,Annihilape,Fighting/Ghost,Paldea
1163,Clodsire,Poison/Ground,Paldea
1164,Farigiraf,Normal/Psychic,Paldea
1165,Dudunsparce (Two-Segment Form),Normal,Paldea
1166,Dudunsparce (Three-Segment Form),Normal,Paldea
1167,Kingambit,Dark/Steel,Paldea
1168,Great Tusk,Ground/Fighting,Paldea
1169,Scream Tail,Fairy/Psychic,Paldea
1170,Brute Bonnet,Grass/Dark,Paldea
1171,Flutter Mane,Ghost/Fairy,Paldea
1172,Slither Wing,Bug/Fighting,Paldea
1173,Sandy Shocks,Electric/Ground,Paldea
1174,Iron Treads,Ground/Steel,Paldea
1175,Iron Bundle,Ice/Water,Paldea
1176,Iron Hands,Fighting/Electric,Paldea
1177,Iron Jugulis,Dark/Flying,Paldea
1178,Iron Moth,Fire/Poison,Paldea
1179,Iron Thorns,Rock/Electric,Paldea
1180,Frigibax,Dragon/Ice,Paldea
1181,Arctibax,Dragon/Ice,Paldea
1182,Baxcalibur,Dragon/Ice,Paldea
1183,Gimmighoul (Chest Form),Ghost,Paldea
1184,Gimmighoul (Roaming Form),Ghost,Paldea
1185,Gholdengo,Steel/Ghost,Paldea
1186,Wo-Chien,Dark/Grass,Paldea
1187,Chien-Pao,Dark/Ice,Paldea
1188,Ting-Lu,Dark/Ground,Paldea
1189,Chi-Yu,Dark/Fire,Paldea
1190,Roaring Moon,Dragon/Dark,Paldea
1191,Iron Valiant,Fairy/Fighting,Paldea
1192,Koraidon,Fighting/Dragon,Paldea
1193,Miraidon,Electric/Dragon,Paldea
1194,Walking Wake,Water/Dragon,Paldea
1195,Iron Leaves,Grass/Psychic,Paldea
1196,Dipplin,Grass/Dragon,Paldea
1197,Poltchageist,Grass/Ghost,Paldea
1198,Sinistcha,Grass/Ghost,Paldea
1199,Okidogi,Poison/Fighting,Paldea
1200,Munkidori,Poison/Psychic,Paldea
1201,Fezandipiti,Poison/Fairy,Paldea
1202,Ogerpon (Teal Mask),Grass,Paldea
1203,Ogerpon (Wellspring Mask),Grass/Water,Paldea
1204,Ogerpon (Hearthflame Mask),Grass/Fire,Paldea
1205,Ogerpon (Cornerstone Mask),Grass/Rock,Paldea
1206,Archaludon,Steel/Dragon,Paldea
1207,Hydrapple,Grass/Dragon,Paldea
1208,Gouging Fire,Fire/Dragon,Paldea
1209,Raging Bolt,Electric/Dragon,Paldea
1210,Iron Boulder,Rock/Psychic,Paldea
1211,Iron Crown,Steel/Psychic,Paldea
1212,Terapagos (Normal Form),Normal,Paldea
1213,Terapagos (Terastal Form),Normal,Paldea
1214,Terapagos (Stellar Form),Normal,Paldea
1215,Pecharunt,Poison/Ghost,Paldea 
